symbol,delisted_date,available_since,last_price,data_from_month,trading_days
leverusdt,2025-09-04,2023-03-30,0.0001555,2025-08,0.0
defiusdt,2025-08-13,2020-08-29,780.8,2025-07,0.0
memefiusdt,2025-08-13,2025-04-25,0.001349,2025-07,0.0
lokausdt,2025-07-23,2024-09-24,0.05115,2025-06,0.0
ethusdt_250627,2025-06-28,2024-12-27,2537.25,2025-05,0.0
btcusdt_250627,2025-06-28,2024-12-27,105025.5,2025-05,0.0
eosusdt,2025-05-23,2020-01-08,0.672,2025-04,0.0
alpacausdt,2025-05-01,2024-08-22,1.19,2025-04,0.0
badgerusdt,2025-04-15,2023-11-09,1.4202,2025-03,0.0
nulsusdt,2025-04-15,2024-08-26,0.1098,2025-03,0.0
troyusdt,2025-04-15,2024-10-31,0.001022,2025-03,0.0
balusdt,2025-04-15,2020-09-01,1.319,2025-03,0.0
vidtusdt,2025-04-15,2024-08-23,0.02473,2025-03,0.0
ethusdt_250328,2025-03-29,2024-09-27,2248.11,2025-02,0.0
btcusdt_250328,2025-03-29,2024-09-27,84811.3,2025-02,0.0
linausdt,2025-03-28,2021-03-19,0.00234,2025-02,0.0
combousdt,2025-03-28,2023-06-02,0.2832,2025-02,0.0
bnxusdt,2025-03-18,2022-04-01,1.2023,2025-02,0.0
ambusdt,2025-02-23,2023-03-30,0.006008,2025-01,0.0
stmxusdt,2025-02-23,2021-03-22,0.00541,2025-01,0.0
omgusdt,2025-02-02,2020-07-02,0.291,2025-01,0.0
reefusdt,2025-01-23,2021-02-22,0.001035,2024-12,0.0
ftmusdt,2025-01-08,2020-09-24,0.6811,2024-12,0.0
btcusdt_241227,2024-12-28,2024-06-28,97848.9,2024-11,0.0
ethusdt_241227,2024-12-28,2024-06-28,3763.33,2024-11,0.0
darusdt,2024-12-27,2022-04-29,0.2047,2024-11,0.0
blzusdt,2024-12-24,2020-09-18,0.15474,2024-11,0.0
bondusdt,2024-12-17,2023-10-15,1.698,2024-11,0.0
orbsusdt,2024-12-10,2023-10-17,0.036788,2024-11,0.0
xemusdt,2024-12-10,2021-03-03,0.0346,2024-11,0.0
loomusdt,2024-12-10,2023-10-11,0.07923,2024-11,0.0
keyusdt,2024-12-04,2023-05-24,0.0026152,2024-11,0.0
renusdt,2024-12-04,2020-10-13,0.05124,2024-11,0.0
unfiusdt,2024-11-01,2021-02-19,3.176,2024-09,0.0
klayusdt,2024-10-23,2021-10-12,0.1344,2024-09,0.0
ethusdt_240927,2024-09-28,2024-03-29,2522.15,2024-08,0.0
btcusdt_240927,2024-09-28,2024-03-29,59207.0,2024-08,0.0
maticusdt,2024-09-06,2020-10-22,0.4196,2024-08,0.0
maticusdc,2024-09-06,2024-04-25,0.4194,2024-08,0.0
frontusdt,2024-08-24,2023-09-22,0.7813,2024-07,0.0
rndrusdt,2024-07-18,2023-02-03,7.6931,2024-06,0.0
galusdt,2024-07-12,2022-05-05,2.225,2024-06,0.0
ethusdt_240628,2024-06-29,2023-12-29,3798.76,2024-05,0.0
btcusdt_240628,2024-06-29,2023-12-29,68116.7,2024-05,0.0
agixusdt,2024-06-27,2023-02-16,0.8971,2024-05,0.0
