id,symbol,type,internal_id,denominator,margin,contract_type,contract_size,first_capture,end_date
ewjusdt,EWJ,perpetual,perpetual-EWJ-USDT:USDT,USDT,USDT,perpetual,1.0,2026-03-19T00:00:00.000Z,
ewtusdt,EWT,perpetual,perpetual-EWT-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-01T00:00:00.000Z,
ewyusdt,EWY,perpetual,perpetual-EWY-USDT:USDT,USDT,USDT,perpetual,1.0,2026-03-16T00:00:00.000Z,
ewzusdt,EWZ,perpetual,perpetual-EWZ-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-10T00:00:00.000Z,
flexusdt,FLEX,perpetual,perpetual-FLEX-USDT:USDT,USDT,USDT,perpetual,,2026-07-02T00:00:00.000Z,
flncusdt,FLNC,perpetual,perpetual-FLNC-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-18T00:00:00.000Z,
footballusdt,FOOTBALL,perpetual,perpetual-FOOTBALL-USDT:USDT,USDT,USDT,perpetual,,2022-09-01T00:00:00.000Z,2024-03-27T00:00:00.000Z
fwdiusdt,FWDI,perpetual,perpetual-FWDI-USDT:USDT,USDT,USDT,perpetual,,2026-07-09T00:00:00.000Z,
gevusdt,GEV,perpetual,perpetual-GEV-USDT:USDT,USDT,USDT,perpetual,,2026-07-10T00:00:00.000Z,
glwusdt,GLW,perpetual,perpetual-GLW-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-11T00:00:00.000Z,
gmeusdt,GME,perpetual,perpetual-GME-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-10T00:00:00.000Z,
googlusdt,GOOGL,perpetual,perpetual-GOOGL-USDT:USDT,USDT,USDT,perpetual,1.0,2026-03-26T00:00:00.000Z,
guausdt,GUA,perpetual,perpetual-GUA-USDT:USDT,USDT,USDT,perpetual,1.0,2025-12-21T00:00:00.000Z,
hdusdt,HD,perpetual,perpetual-HD-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-15T00:00:00.000Z,
himsusdt,HIMS,perpetual,perpetual-HIMS-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-09T00:00:00.000Z,
hoodusdt,HOOD,perpetual,perpetual-HOOD-USDT:USDT,USDT,USDT,perpetual,1.0,2026-02-02T00:00:00.000Z,
hpeusdt,HPE,perpetual,perpetual-HPE-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-08T00:00:00.000Z,
hyundaiusdt,HYUNDAI,perpetual,perpetual-HYUNDAI-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-02T00:00:00.000Z,
ibmusdt,IBM,perpetual,perpetual-IBM-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-03T00:00:00.000Z,
intcusdt,INTC,perpetual,perpetual-INTC-USDT:USDT,USDT,USDT,perpetual,1.0,2026-02-02T00:00:00.000Z,
intwusdt,INTW,perpetual,perpetual-INTW-USDT:USDT,USDT,USDT,perpetual,,2026-07-09T00:00:00.000Z,
irenusdt,IREN,perpetual,perpetual-IREN-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-03T00:00:00.000Z,
iwmusdt,IWM,perpetual,perpetual-IWM-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-08T00:00:00.000Z,
jpmusdt,JPM,perpetual,perpetual-JPM-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-18T00:00:00.000Z,
klacusdt,KLAC,perpetual,perpetual-KLAC-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-22T00:00:00.000Z,
koruusdt,KORU,perpetual,perpetual-KORU-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-22T00:00:00.000Z,
kstrusdt,KSTR,perpetual,perpetual-KSTR-USDT:USDT,USDT,USDT,perpetual,,2026-07-02T00:00:00.000Z,
